Date : 2020-05-28 09:50:29
Directory : d:\ProjectBisfitsFinal\bisfits
Total : 155 files,  23306 codes, 416 comments, 1200 blanks, all 24922 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| JSON       |          3 |     14,670 |          0 |          3 |     14,673 |
| Vue.js     |         43 |      5,293 |         98 |        356 |      5,747 |
| Java       |         75 |      2,280 |         89 |        650 |      3,019 |
| JavaScript |         21 |        582 |        204 |         70 |        856 |
| Batch      |          1 |        147 |          0 |         36 |        183 |
| XML        |          2 |        104 |          0 |          7 |        111 |
| Markdown   |          2 |         99 |          0 |         37 |        136 |
| YAML       |          2 |         55 |          1 |          6 |         62 |
| Properties |          3 |         38 |         10 |         15 |         63 |
| HTML       |          1 |         21 |          1 |          3 |         25 |
| Dockerfile |          2 |         17 |         13 |         17 |         47 |
+------------+------------+------------+------------+------------+------------+

Directories
+-------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                    | files      | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                       |        155 |     23,306 |        416 |      1,200 |     24,922 |
| .docker                                                                                                                 |          1 |         24 |          0 |          8 |         32 |
| .docker\nginx                                                                                                           |          1 |         24 |          0 |          8 |         32 |
| backend                                                                                                                 |         80 |      2,552 |        106 |        708 |      3,366 |
| backend\.mvn                                                                                                            |          2 |         78 |         31 |         12 |        121 |
| backend\.mvn\wrapper                                                                                                    |          2 |         78 |         31 |         12 |        121 |
| backend\src                                                                                                             |         75 |      2,216 |         68 |        645 |      2,929 |
| backend\src\main                                                                                                        |         65 |      1,894 |         47 |        537 |      2,478 |
| backend\src\main\java                                                                                                   |         64 |      1,882 |         37 |        531 |      2,450 |
| backend\src\main\java\edu                                                                                               |         64 |      1,882 |         37 |        531 |      2,450 |
| backend\src\main\java\edu\ap                                                                                            |         64 |      1,882 |         37 |        531 |      2,450 |
| backend\src\main\java\edu\ap\projectteambisfits                                                                         |         64 |      1,882 |         37 |        531 |      2,450 |
| backend\src\main\java\edu\ap\projectteambisfits\category                                                                |          6 |        158 |          0 |         50 |        208 |
| backend\src\main\java\edu\ap\projectteambisfits\comment                                                                 |          5 |         98 |          0 |         31 |        129 |
| backend\src\main\java\edu\ap\projectteambisfits\config                                                                  |          1 |         21 |         29 |          6 |         56 |
| backend\src\main\java\edu\ap\projectteambisfits\defect                                                                  |          6 |        343 |          4 |         86 |        433 |
| backend\src\main\java\edu\ap\projectteambisfits\department                                                              |          6 |        211 |          0 |         59 |        270 |
| backend\src\main\java\edu\ap\projectteambisfits\location                                                                |          6 |        155 |          0 |         49 |        204 |
| backend\src\main\java\edu\ap\projectteambisfits\photo                                                                   |          5 |        116 |          1 |         36 |        153 |
| backend\src\main\java\edu\ap\projectteambisfits\priority                                                                |          5 |        114 |          0 |         29 |        143 |
| backend\src\main\java\edu\ap\projectteambisfits\role                                                                    |          5 |         84 |          0 |         26 |        110 |
| backend\src\main\java\edu\ap\projectteambisfits\security                                                                |          1 |         14 |          0 |          3 |         17 |
| backend\src\main\java\edu\ap\projectteambisfits\status                                                                  |          5 |         92 |          0 |         27 |        119 |
| backend\src\main\java\edu\ap\projectteambisfits\task                                                                    |          5 |        155 |          0 |         46 |        201 |
| backend\src\main\java\edu\ap\projectteambisfits\user                                                                    |          6 |        296 |          2 |         73 |        371 |
| backend\src\main\resources                                                                                              |          1 |         12 |         10 |          6 |         28 |
| backend\src\test                                                                                                        |         10 |        322 |         21 |        108 |        451 |
| backend\src\test\java                                                                                                   |         10 |        322 |         21 |        108 |        451 |
| backend\src\test\java\edu                                                                                               |         10 |        322 |         21 |        108 |        451 |
| backend\src\test\java\edu\ap                                                                                            |         10 |        322 |         21 |        108 |        451 |
| backend\src\test\java\edu\ap\projectteambisfits                                                                         |         10 |        322 |         21 |        108 |        451 |
| frontend                                                                                                                |         70 |     20,604 |        309 |        449 |     21,362 |
| frontend\public                                                                                                         |          1 |         21 |          1 |          3 |         25 |
| frontend\src                                                                                                            |         48 |      5,649 |        127 |        386 |      6,162 |
| frontend\src\assets                                                                                                     |          1 |          1 |          0 |          1 |          2 |
| frontend\src\components                                                                                                 |         33 |      5,163 |        127 |        340 |      5,630 |
| frontend\src\components\AdminComponents                                                                                 |          7 |      1,128 |          0 |         57 |      1,185 |
| frontend\src\components\AssigningToUser                                                                                 |          4 |        650 |          8 |         62 |        720 |
| frontend\src\components\DataTables                                                                                      |          4 |      1,087 |          2 |         66 |      1,155 |
| frontend\src\components\DefectDetails                                                                                   |          3 |        363 |          3 |         33 |        399 |
| frontend\src\components\DialogCreators                                                                                  |          3 |        668 |          1 |         27 |        696 |
| frontend\src\components\GeneralComponents                                                                               |          4 |        388 |          2 |         31 |        421 |
| frontend\src\components\PersonalOverviewComponents                                                                      |          4 |        493 |          5 |         29 |        527 |
| frontend\src\components\Photo                                                                                           |          1 |          9 |         76 |          0 |         85 |
| frontend\src\components\TaskDetails                                                                                     |          1 |         89 |          1 |         13 |        103 |
| frontend\src\plugins                                                                                                    |          1 |          9 |          0 |          3 |         12 |
| frontend\src\router                                                                                                     |          1 |         68 |          0 |          5 |         73 |
| frontend\src\views                                                                                                      |         10 |        273 |          0 |         26 |        299 |
| frontend\tests                                                                                                          |         14 |        189 |        175 |         39 |        403 |
| frontend\tests\e2e                                                                                                      |         13 |        177 |        175 |         37 |        389 |
| frontend\tests\e2e\custom-assertions                                                                                    |          1 |         16 |         15 |          4 |         35 |
| frontend\tests\e2e\custom-commands                                                                                      |          3 |         27 |         49 |         11 |         87 |
| frontend\tests\e2e\page-objects                                                                                         |          1 |         29 |         16 |          8 |         53 |
| frontend\tests\e2e\specs                                                                                                |          6 |         91 |         11 |          1 |        103 |
| frontend\tests\unit                                                                                                     |          1 |         12 |          0 |          2 |         14 |
+-------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
